Machine Model,Machine Type,Country Name,Delivered Date,Delivered Site,Price,Software Version
A01,Smart Switch,Japan,9/9/2022,Marshal,5000,v2
A02,Smart Switch,Japan,9/9/2022,Marshal,5000,v3
A03,Smart Switch,Japan,9/9/2022,Marshal,5000,v4
A04,Smart Switch,Japan,9/9/2022,Marshal,5000,v4
A05,Smart Switch,Japan,9/9/2022,Marshal,5000,v4
A05,Smart Switch,Japan,9/9/2022,Marshal,5000,v4
A05,Smart Switch,Japan,9/9/2022,Marshal,5000,v4
A05,Smart Switch,Korea,9/9/2022,Marshal,5000,v4
A05,Smart Switch,Korea,9/9/2022,Marshal,5001,v5
A05,Smart Switch,Korea,9/9/2022,Anchor,5002,v6
A11,Smart Switch,Korea,2/2/2023,Anchor,5003,v7
A12,Smart Switch,Korea,2/2/2023,Anchor,5004,v8
A12,Smart Switch,Korea,2/2/2023,Anchor,5005,v9
A12,Smart Switch,Korea,2/2/2023,Anchor,5006,v10
A12,Smart Switch,Korea,2/2/2023,Anchor,5006,v10
A12,Smart Switch,Korea,2/2/2023,Anchor,5006,v10
A12,Smart Switch,Korea,2/2/2023,Anchor,5006,v10
A12,Smart Switch,Korea,2/2/2023,Anchor,5006,v10
A12,Smart Switch,Korea,2/2/2023,Anchor,5006,v10
A20,Smart Switch,Korea,2/2/2023,Anchor,5006,v10
A21,Smart Switch,Korea,2/2/2023,Anchor,5006,v10
A22,Smart Switch,Korea,2/2/2023,Anchor,5006,v10
A23,Smart Switch,Korea,2/2/2023,Anchor,5006,v10
A24,Smart Switch,Korea,2/2/2023,Anchor,5006,v10
A25,Smart Switch,Korea,2/2/2023,Anchor,5006,v10
A26,Smart Switch,Korea,2/2/2023,Anchor,5006,v10
A27,Smart Switch,Korea,2/2/2023,Anchor,5006,v10
A28,Smart Switch,Korea,2/2/2017,Anchor,5006,v10
A29,Smart Switch,Korea,2/2/2017,Anchor,5006,v10
A30,Smart Switch,Korea,2/2/2017,Anchor,5006,v10
A31,Smart Switch,Korea,2/2/2017,Anchor,5006,v10
A32,Smart Switch,Korea,2/2/2017,Anchor,5006,v10
A33,Smart Switch,Korea,3/2/2017,Anchor,5006,v10
A34,Smart Switch,Korea,3/2/2017,Anchor,5006,v10
A35,Smart Switch,Korea,3/2/2017,Anchor,5006,v10
A36,Smart Switch,Korea,3/2/2017,Cisco,5006,v10
A37,Smart Switch,Korea,3/2/2017,Cisco,5006,v10
A38,Smart Switch,Korea,3/2/2017,Cisco,5006,v10
A39,Smart Switch,Korea,3/2/2017,Cisco,5006,v10
A40,Smart Switch,Korea,3/2/2017,Cisco,5006,v10
A41,Smart Switch,Korea,3/2/2017,Cisco,5006,v10
A42,Smart Switch,Korea,3/2/2017,Cisco,5006,v10
A43,Smart Switch,Korea,3/2/2017,Cisco,5006,v10
A44,Smart Switch,Korea,3/2/2017,Cisco,5006,v10
A45,Smart Switch,Korea,3/2/2017,Cisco,5006,v10
A46,Smart Switch,Korea,3/2/2017,Cisco,5006,v10
A47,Smart Switch,Korea,3/2/2017,Cisco,5006,v10
A48,Smart Switch,Korea,3/2/2017,Cisco,5006,v10
A49,Smart Switch,Korea,3/2/2017,Cisco,5006,v10
A50,Smart Switch,Korea,3/2/2017,Cisco,5006,v10
A50,Vision Quadra,USA,3/2/2017,Anchor,5000,v5
A50,Vision Quadra,USA,3/2/2017,Anchor,5000,v5
A50,Vision Quadra,USA,3/2/2017,Anchor,5000,v5
A50,Vision Quadra,USA,3/2/2017,Anchor,5000,v5
A50,Vision Quadra,USA,3/2/2017,Anchor,5000,v5
A50,Vision Quadra,USA,3/2/2017,Anchor,5000,v5
A57,Vision Quadra,USA,3/2/2017,Anchor,5000,v5
A58,Vision Quadra,USA,3/2/2017,Anchor,5000,v5
