Machine Model,Machine Type,Country Name,Delivered Date,Delivered Site,Price,Software Version
A01,Smart Switch,Vietnam,10.2.2020,Marshal,5000,v2
A02,Smart Switch,Vietnam,10.2.2020,Marshal,5000,v2
A03,Smart Switch,Vietnam,10.2.2020,Marshal,5000,v2
A04,Smart Switch,Vietnam,10.2.2020,Marshal,5000,v2
A05,Smart Switch,Vietnam,10.2.2020,Marshal,5000,v2
A06,Smart Switch,Vietnam,10.2.2020,Marshal,5000,v2
A07,Smart Switch,Vietnam,10.2.2020,Marshal,5000,v2
A08,Smart Switch,Vietnam,10.2.2020,Marshal,5000,v2
A09,Smart Switch,Vietnam,10.2.2020,Marshal,5001,v2
A10,Smart Switch,Vietnam,10.2.2020,Anchor,5002,v2
A11,Smart Switch,Vietnam,10.2.2020,Anchor,5003,v2
A12,Smart Switch,Vietnam,10.2.2020,Anchor,5004,v2
A13,Smart Switch,Vietnam,10.2.2020,Anchor,5005,v2
A14,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A15,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A16,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A17,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A18,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A19,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A20,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A21,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A22,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A23,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A24,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A25,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A26,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A27,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A28,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A29,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A30,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A31,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A32,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A33,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A34,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A35,Smart Switch,Vietnam,10.2.2020,Anchor,5006,v2
A36,Smart Switch,Vietnam,10.2.2020,Cisco,5006,v2
A37,Smart Switch,Vietnam,10.2.2020,Cisco,5006,v2
A38,Smart Switch,Vietnam,10.2.2020,Cisco,5006,v2
A39,Smart Switch,Vietnam,10.2.2020,Cisco,5006,v2
A40,Smart Switch,Vietnam,10.2.2020,Cisco,5006,v2
A41,Smart Switch,Vietnam,10.2.2020,Cisco,5006,v2
A42,Smart Switch,Vietnam,10.2.2020,Cisco,5006,v2
A43,Smart Switch,Vietnam,10.2.2020,Cisco,5006,v2
A44,Smart Switch,Vietnam,10.2.2020,Cisco,5006,v2
A45,Smart Switch,Vietnam,10.2.2020,Cisco,5006,v2
A46,Smart Switch,Vietnam,10.2.2020,Cisco,5006,v2
A47,Smart Switch,Vietnam,10.2.2020,Cisco,5006,v2
A48,Smart Switch,Vietnam,10.2.2020,Cisco,5006,v2
A49,Smart Switch,Vietnam,10.2.2020,Cisco,5006,v2
A50,Smart Switch,Vietnam,10.2.2020,Cisco,5006,v2
A51,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A52,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A53,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A54,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A55,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A56,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A57,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A58,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A59,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A60,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A61,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A62,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A63,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A64,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A65,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A66,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A67,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A68,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A69,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A70,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A71,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A72,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A73,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A74,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A75,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A76,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A77,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A78,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A79,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A80,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A81,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A82,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A83,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A84,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A85,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A86,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A87,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A88,Vision Quadra,Vietnam,10.2.2020,Anchor,5000,v5
A89,Backend Switch,Vietnam,10.2.2020,Anchor,5001,v6
A90,Backend Switch,Vietnam,10.2.2020,Anchor,5002,v7
A91,Backend Switch,Vietnam,10.2.2020,Anchor,5003,v8
A92,Backend Switch,Vietnam,10.2.2020,Anchor,5004,v9
A93,Backend Switch,Vietnam,10.2.2020,Anchor,5005,v10
A94,Backend Switch,Vietnam,10.2.2020,Anchor,5006,v11
A95,Backend Switch,Vietnam,10.2.2020,Anchor,5007,v12
A96,Backend Switch,Vietnam,10.2.2020,Anchor,5008,v13
A97,Router,Vietnam,10.2.2020,Anchor,5008,v13
A98,Router,Vietnam,10.2.2020,Anchor,5008,v13
A99,Router,Vietnam,10.2.2020,Anchor,5008,v13
B01,Router,Vietnam,10.2.2020,Anchor,700,v11
B02,Router,Vietnam,10.2.2020,Anchor,700,v11
B03,Router,Vietnam,10.2.2020,Anchor,700,v11
B03,Router,Vietnam,10.2.2020,Anchor,700,v11
B03,Router,Vietnam,10.2.2020,Anchor,700,v11
B03,Router,Vietnam,10.2.2020,Anchor,700,v11
B03,Router,Vietnam,10.2.2020,Anchor,700,v11
B03,Router,Vietnam,10.2.2020,Anchor,700,v11
B03,Router,Vietnam,10.2.2020,Anchor,700,v11
B03,Router,Vietnam,10.2.2020,Anchor,700,v11
B11,Router,Vietnam,10.2.2020,Anchor,700,v11
B12,Router,Vietnam,10.2.2020,Anchor,700,v11
B13,Router,Vietnam,10.2.2020,Anchor,700,v11
B14,Router,Vietnam,10.2.2020,Anchor,700,v11
B15,Router,Vietnam,10.2.2020,Anchor,700,v11
B16,Router,Vietnam,10.2.2020,Anchor,700,v11
B17,Router,Vietnam,10.2.2020,Anchor,700,v11
B18,Router,Vietnam,10.2.2020,Anchor,700,v11
B19,Router,Vietnam,10.2.2020,Anchor,700,v11
B20,Router,Vietnam,10.2.2020,Anchor,700,v11
B21,Router,Vietnam,10.2.2020,Anchor,700,v11
B22,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B23,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B24,VG40A,Vietnam,10.2.2020,Anchor,1500,v11
B25,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B26,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B27,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B28,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B29,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B30,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B31,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B32,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B33,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B34,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B35,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B36,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B37,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B38,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B39,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B40,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B41,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B42,VG40A,Vietnam,10.2.2020,Anchor,700,v11
B43,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B44,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B45,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B46,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B47,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B48,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B49,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B50,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B51,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B52,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B53,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B54,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B55,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B56,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B57,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B58,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B59,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B60,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B61,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B62,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B63,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B64,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B65,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B66,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B67,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B68,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B69,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B70,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B71,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B72,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B73,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B74,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B75,VG40A,Vietnam,10.2.2013,Anchor,1700,v11
B76,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B77,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B78,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B79,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B80,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B81,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B82,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B83,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B84,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B85,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B86,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B87,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B88,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B89,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B90,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B91,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B92,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B93,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B94,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B95,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B96,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B97,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B98,VG40A,Vietnam,10.2.2013,Anchor,700,v11
B99,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C01,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C02,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C03,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C04,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C05,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C06,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C07,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C08,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C09,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C10,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C11,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C12,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C13,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C14,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C15,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C16,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C17,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C18,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C19,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C20,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C21,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C22,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C23,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C24,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C25,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C26,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C27,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C28,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C29,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C30,VG40A,Vietnam,10.2.2013,Anchor,700,v11
C31,VG40A,Vietnam,10.2.2013,Anchor,700,v11
